Date,MaxTemp_Phoenix,MaxTemp_Hartford
2023-01-01,61.5,52.8
2023-01-02,56.7,47.8
2023-01-03,60.6,39.8
2023-01-04,65.7,46.2
2023-01-05,64.0,47.0
2023-01-06,61.1,40.9
2023-01-07,69.0,44.9
2023-01-08,70.0,38.9
2023-01-09,68.9,42.9
2023-01-10,69.7,42.9
2023-01-11,64.8,37.0
2023-01-12,73.1,39.9
2023-01-13,75.7,58.1
2023-01-14,64.9,38.8
2023-01-15,59.8,39.0
2023-01-16,59.8,40.9
2023-01-17,57.3,47.0
2023-01-18,58.7,52.9
2023-01-19,59.8,43.8
2023-01-20,57.3,42.0
2023-01-21,57.7,38.0
2023-01-22,58.7,39.7
2023-01-23,49.6,37.0
2023-01-24,54.8,41.0
2023-01-25,60.7,38.9
2023-01-26,62.0,47.8
2023-01-27,62.7,43.9
2023-01-28,63.9,51.2
2023-01-29,67.7,52.9
2023-01-30,61.6,52.0
2023-01-31,62.7,43.7
2023-02-01,66.8,35.9
2023-02-02,66.7,38.1
2023-02-03,73.0,33.1
2023-02-04,74.7,17.0
2023-02-05,74.5,47.1
2023-02-06,68.9,52.0
2023-02-07,67.7,40.9
2023-02-08,68.7,50.0
2023-02-09,67.8,48.5
2023-02-10,70.9,61.0
2023-02-11,73.8,46.0
2023-02-12,78.6,47.9
2023-02-13,57.4,50.0
2023-02-14,55.7,53.8
2023-02-15,54.6,61.1
2023-02-16,57.7,68.8
2023-02-17,64.9,57.7
2023-02-18,72.8,42.1
2023-02-19,73.8,47.9
2023-02-20,73.9,61.1
2023-02-21,66.3,44.9
2023-02-22,58.5,42.1
2023-02-23,59.6,35.8
2023-02-24,65.7,37.9
2023-02-25,75.4,24.1
2023-02-26,58.5,40.9
2023-02-27,63.7,38.9
2023-02-28,64.6,35.0
2023-03-01,62.7,42.2
2023-03-02,53.7,48.7
2023-03-03,61.7,46.1
2023-03-04,68.8,39.8
2023-03-05,71.6,49.7
2023-03-06,72.8,51.2
2023-03-07,72.8,44.0
2023-03-08,74.6,47.0
2023-03-09,73.0,51.2
2023-03-10,77.8,49.9
2023-03-11,77.6,43.0
2023-03-12,80.7,50.0
2023-03-13,78.7,44.9
2023-03-14,79.7,37.9
2023-03-15,65.9,41.0
2023-03-16,70.4,55.0
2023-03-17,71.8,56.9
2023-03-18,72.9,51.9
2023-03-19,69.9,42.8
2023-03-20,71.5,52.9
2023-03-21,64.7,62.0
2023-03-22,64.4,64.1
2023-03-23,68.7,57.7
2023-03-24,68.8,55.0
2023-03-25,70.7,43.0
2023-03-26,69.6,62.8
2023-03-27,71.8,61.0
2023-03-28,79.8,51.0
2023-03-29,80.7,53.9
2023-03-30,65.7,42.1
2023-03-31,69.9,50.0
2023-04-01,80.8,65.1
2023-04-02,81.6,53.0
2023-04-03,81.6,56.1
2023-04-04,63.6,71.9
2023-04-05,67.8,56.0
2023-04-06,76.1,72.9
2023-04-07,82.7,58.9
2023-04-08,83.7,53.0
2023-04-09,88.0,56.0
2023-04-10,97.7,67.9
2023-04-11,98.7,75.1
2023-04-12,89.8,82.1
2023-04-13,81.7,90.0
2023-04-14,77.7,91.3
2023-04-15,84.6,75.7
2023-04-16,88.9,69.1
2023-04-17,89.7,62.0
2023-04-18,85.5,56.8
2023-04-19,81.7,53.9
2023-04-20,83.8,69.9
2023-04-21,88.7,70.1
2023-04-22,91.8,64.0
2023-04-23,93.5,56.8
2023-04-24,90.9,58.9
2023-04-25,90.7,59.0
2023-04-26,88.0,60.2
2023-04-27,93.4,57.8
2023-04-28,97.9,62.1
2023-04-29,97.8,56.9
2023-04-30,100.7,57.7
2023-05-01,93.6,62.0
2023-05-02,91.5,53.9
2023-05-03,88.6,60.0
2023-05-04,81.5,57.7
2023-05-05,79.9,64.0
2023-05-06,85.5,74.1
2023-05-07,89.4,78.1
2023-05-08,90.9,74.9
2023-05-09,91.7,67.9
2023-05-10,78.8,73.1
2023-05-11,87.9,80.9
2023-05-12,94.8,87.2
2023-05-13,97.6,82.1
2023-05-14,99.7,69.1
2023-05-15,100.7,74.9
2023-05-16,103.5,80.1
2023-05-17,99.6,67.7
2023-05-18,99.4,63.0
2023-05-19,91.7,69.2
2023-05-20,97.5,66.8
2023-05-21,99.7,71.0
2023-05-22,101.4,74.0
2023-05-23,101.4,71.0
2023-05-24,98.4,75.8
2023-05-25,98.4,68.1
2023-05-26,98.2,74.0
2023-05-27,97.3,80.0
2023-05-28,98.3,83.1
2023-05-29,99.4,78.2
2023-05-30,98.5,74.0
2023-05-31,92.4,80.8
2023-06-01,90.6,89.9
2023-06-02,93.2,92.0
2023-06-03,100.6,69.9
2023-06-04,104.6,60.9
2023-06-05,104.8,70.1
2023-06-06,98.4,72.0
2023-06-07,96.4,69.9
2023-06-08,94.6,66.7
2023-06-09,95.7,71.7
2023-06-10,99.7,75.8
2023-06-11,95.6,83.0
2023-06-12,90.7,80.0
2023-06-13,95.2,80.9
2023-06-14,99.6,79.0
2023-06-15,98.3,80.0
2023-06-16,101.0,80.7
2023-06-17,103.4,73.9
2023-06-18,108.3,79.9
2023-06-19,103.3,79.0
2023-06-20,104.4,77.0
2023-06-21,103.6,74.8
2023-06-22,104.4,77.0
2023-06-23,100.3,79.0
2023-06-24,104.5,80.0
2023-06-25,108.7,84.9
2023-06-26,110.3,83.0
2023-06-27,109.3,79.1
2023-06-28,106.4,83.0
2023-06-29,105.5,79.0
2023-06-30,107.6,83.9
2023-07-01,112.5,84.8
2023-07-02,114.5,82.1
2023-07-03,114.7,87.9
2023-07-04,111.3,79.9
2023-07-05,108.7,91.0
2023-07-06,112.7,92.0
2023-07-07,110.2,87.2
2023-07-08,111.2,88.0
2023-07-09,110.4,83.9
2023-07-10,107.7,83.8
2023-07-11,108.7,89.0
2023-07-12,109.6,91.0
2023-07-13,113.6,87.2
2023-07-14,114.7,82.9
2023-07-15,116.6,88.1
2023-07-16,112.6,79.0
2023-07-17,114.8,89.0
2023-07-18,117.5,85.9
2023-07-19,117.6,83.1
2023-07-20,118.5,86.0
2023-07-21,114.6,80.8
2023-07-22,115.6,83.0
2023-07-23,113.5,87.1
2023-07-24,114.7,87.0
2023-07-25,116.4,86.0
2023-07-26,116.6,88.0
2023-07-27,114.4,90.0
2023-07-28,114.6,91.1
2023-07-29,112.7,87.6
2023-07-30,110.5,78.2
2023-07-31,106.5,80.9
2023-08-01,108.4,78.1
2023-08-02,109.5,78.2
2023-08-03,109.7,79.1
2023-08-04,112.6,76.9
2023-08-05,115.3,84.8
2023-08-06,111.4,84.8
2023-08-07,110.4,75.8
2023-08-08,109.3,81.9
2023-08-09,108.5,84.8
2023-08-10,105.7,79.1
2023-08-11,104.8,82.9
2023-08-12,107.3,83.0
2023-08-13,107.4,88.0
2023-08-14,103.6,84.7
2023-08-15,110.1,74.0
2023-08-16,113.3,78.1
2023-08-17,113.5,74.9
2023-08-18,104.8,82.1
2023-08-19,92.7,76.9
2023-08-20,101.5,83.9
2023-08-21,90.0,86.0
2023-08-22,103.5,79.1
2023-08-23,106.6,78.2
2023-08-24,104.6,73.1
2023-08-25,108.9,74.9
2023-08-26,110.7,85.9
2023-08-27,111.5,82.8
2023-08-28,116.4,79.0
2023-08-29,113.7,81.0
2023-08-30,109.7,84.7
2023-08-31,107.7,75.9
2023-09-01,87.7,75.8
2023-09-02,97.5,79.0
2023-09-03,99.8,88.0
2023-09-04,101.1,89.0
2023-09-05,103.3,90.0
2023-09-06,104.7,92.0
2023-09-07,106.7,94.9
2023-09-08,108.9,88.1
2023-09-09,112.6,86.0
2023-09-10,110.7,79.9
2023-09-11,105.5,82.9
2023-09-12,98.5,82.9
2023-09-13,97.5,73.1
2023-09-14,100.5,78.1
2023-09-15,102.4,69.2
2023-09-16,104.7,74.9
2023-09-17,105.5,78.2
2023-09-18,101.3,68.0
2023-09-19,99.3,73.1
2023-09-20,99.4,74.0
2023-09-21,96.6,73.1
2023-09-22,97.6,72.8
2023-09-23,94.5,62.7
2023-09-24,99.6,62.1
2023-09-25,101.5,60.4
2023-09-26,102.6,65.0
2023-09-27,104.6,69.2
2023-09-28,101.4,71.9
2023-09-29,100.2,58.9
2023-09-30,100.2,63.0
2023-10-01,85.3,78.2
2023-10-02,86.4,75.8
2023-10-03,86.9,82.2
2023-10-04,92.7,84.9
2023-10-05,98.6,78.2
2023-10-06,102.6,71.8
2023-10-07,101.5,71.1
2023-10-08,99.8,62.1
2023-10-09,99.6,62.9
2023-10-10,97.5,64.1
2023-10-11,92.5,70.0
2023-10-12,89.5,71.0
2023-10-13,90.6,65.0
2023-10-14,91.7,56.9
2023-10-15,101.4,61.0
2023-10-16,103.6,61.0
2023-10-17,99.7,64.9
2023-10-18,99.8,64.1
2023-10-19,103.7,64.2
2023-10-20,102.5,64.8
2023-10-21,99.8,62.0
2023-10-22,97.5,56.9
2023-10-23,86.6,61.0
2023-10-24,84.5,62.0
2023-10-25,82.7,71.1
2023-10-26,82.8,78.3
2023-10-27,86.9,77.1
2023-10-28,86.7,82.1
2023-10-29,79.7,57.8
2023-10-30,79.0,52.0
2023-10-31,79.9,50.1
2023-11-01,81.8,43.0
2023-11-02,86.6,48.8
2023-11-03,87.6,56.1
2023-11-04,87.9,58.9
2023-11-05,91.8,64.1
2023-11-06,90.9,53.9
2023-11-07,88.5,66.0
2023-11-08,78.7,49.9
2023-11-09,77.9,42.1
2023-11-10,77.7,52.0
2023-11-11,79.9,53.0
2023-11-12,82.7,42.2
2023-11-13,86.7,44.9
2023-11-14,87.5,48.9
2023-11-15,86.8,52.9
2023-11-16,77.8,64.1
2023-11-17,79.8,65.0
2023-11-18,73.8,56.7
2023-11-19,73.6,53.8
2023-11-20,73.8,44.1
2023-11-21,77.9,41.0
2023-11-22,76.7,47.1
2023-11-23,70.9,51.1
2023-11-24,71.6,49.9
2023-11-25,69.5,38.1
2023-11-26,70.9,48.7
2023-11-27,74.6,55.0
2023-11-28,76.7,40.9
2023-11-29,71.6,37.1
2023-11-30,64.6,47.9
2023-12-01,63.7,51.1
2023-12-02,65.5,52.1
2023-12-03,67.6,46.9
2023-12-04,67.6,53.1
2023-12-05,81.1,42.8
2023-12-06,80.0,38.0
